Company Name: Biogen Pharmachem Industries Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Skyline Millars Ltd, Sector: Realty, Industry: Construction,
Company Name: Franklin Industries Ltd, Sector: Trading, Industry: Trading,
Company Name: Jeevan Scientific Technology Ltd, Sector: Healthcare, Industry: Miscellaneous,
Company Name: Rathi Bars Ltd, Sector: Steel, Industry: Steel - Medium / Small,
Company Name: Jain Irrigation Systems Ltd-DVR, Sector: Plastic products, Industry: Plastics Products,
Company Name: Trans India House Impex Ltd, Sector: Trading, Industry: Trading,
Company Name: Titaanium Ten Enterprise Ltd, Sector: Textiles, Industry: Textiles - Products,
Company Name: Continental Petroleums Ltd, Sector: Chemicals, Industry: Chemicals,
Company Name: Reliable Data Services Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Radiowalla Network Ltd, Sector: Entertainment, Industry: Entertainment / Electronic Media Software,
Company Name: Smiths & Founders (India) Ltd, Sector: Castings, Forgings & Fastners, Industry: Castings & Forgings,
Company Name: Jet Freight Logistics Ltd, Sector: Logistics, Industry: Transport - Airlines,
Company Name: Divyashakti Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Innovative Tech Pack Ltd, Sector: Plastic products, Industry: Plastics Products,
Company Name: Sambandam Spinning Mills Ltd, Sector: Textiles, Industry: Textiles - Cotton/Blended,
Company Name: Lee & Nee Software (Exports) Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Ideal Technoplast Industries Ltd, Sector: Packaging, Industry: Packaging,
Company Name: Shree Krishna Infrastructure Ltd, Sector: Infrastructure Developers & Operators, Industry: Construction,
Company Name: Gokak Textiles Ltd, Sector: Textiles, Industry: Textiles - Cotton/Blended,
Company Name: ARSS Infrastructure Projects Ltd, Sector: Infrastructure Developers & Operators, Industry: Construction,
Company Name: Sri Havisha Hospitality & Infrastructure Ltd, Sector: Hotels & Restaurants, Industry: Hotels,
Company Name: Restile Ceramics Ltd, Sector: Ceramic Products, Industry: Ceramics - Tiles / Sanitaryware,
Company Name: Oriental Trimex Ltd, Sector: Trading, Industry: Trading,
Company Name: Jattashankar Industries Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Eiko Lifesciences Ltd, Sector: Chemicals, Industry: Chemicals,
Company Name: Nandani Creation Ltd, Sector: Textiles, Industry: Textiles - Products,
Company Name: Onix Solar Energy Ltd, Sector: Trading, Industry: Trading,
Company Name: Seya Industries Ltd, Sector: Chemicals, Industry: Chemicals,
Company Name: Fundviser Capital (India) Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Aro Granite Industries Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Southern Magnesium & Chemicals Ltd, Sector: Mining & Mineral products, Industry: Mining / Minerals / Metals,
Company Name: TCFC Finance Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Globalspace Technologies Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
