BSE Symbol,NSE Symbol,Company Name          ,AUDITED,,,,,,,,,,LATEST QTR.,,,YEAR TO DATE,,,,,SHAREHOLDINGS,,,,MARKET RELATED DATA,,,,,Sector,*You will find NULL at many places. This for those companies that have announced their FY24 results and do not have YTD Sales or Net Profit. It is reflected in yearly numbers.
,,,Face,Month/,CEqt.,BkVal,Sales,NP,EPS,Div,D/E,RONW,LatQ,Sales,NP,Year/,Sales,Sales,NP,NP,Prom,. Pledged,Inst.,NoShold,Mkt.Cap.,Price,52 Week,Entprise,Trail.P/E,,
,,,Value,Year,Rs.Cr,Rs.,Rs.Cr.,Rs.Cr.,(Rs.),(Rs.),Ratio,(%),Year,Rs.Cr.,Rs.Cr,Month,Rs.Cr.,Growth,Rs.Cr.,Growth,(%),(%),(%),('000),Rs.Cr.,Rs.,H/L,Value,Ratio,,
,,,,,,,,,,,,,,,,,,,,,,,,,As on Date 6th Feb 2025,,,,,,
530965,IOC,Indian Oil Corporation Ltd.,10,2403,14121.24,125.7,881235.45,41615.22,28.06,12,0.66,25.44,2412,219522.35,1912.86,2412N,627787.17,-2.89,5696.72,-83.62,51.51,0,37.08,1412.12,178633.66,126,196.80/120.10,320636.61,16.89,Refineries,
540005,LTIM,LTIMindtree Ltd.,1,2403,29.6,719.45,35517,4584.6,151.55,65,0,26.04,2412,9660.9,1086.7,2412N,27259.4,6.28,3367.9,-0.72,68.57,0,22.43,29.63,178432.04,5940.05,6764.80/4518.35,176389.54,39.41,IT - Software,
500295,VEDL,Vedanta Ltd.,1,2403,372,197.23,143727,7537,17.8,11,0.83,9.81,2412,39115,4876,2412N,54197,2.3,16519,153.59,56.38,56.38,27.47,391.04,173816.75,443.8,527.00/249.75,206234.75,10.3,Metal - Non Ferrous,
539448,INDIGO,Interglobe Aviation Ltd.,10,2403,385.98,160.33,68904.34,8172.47,211.6,0,1.01,0,2412,22110.7,2448.8,2412N,58651,14.82,4179.9,-33.37,49.27,0,46.03,38.64,170608.28,4393.4,5033.20/2982.40,155811.08,27.93,Airlines,
500300,GRASIM,Grasim Industries Ltd.,2,2403,132.8,808.21,130978.48,9836.97,14.24,10,0.18,1.91,2409,33562.85,1014.26,2409H,14517.2,14.49,668.74,-41.85,43.11,0,31.4,68.06,169498.59,2506.15,2875.45/2028.80,179398.25,749.96,Diversified,
500470,TATASTEEL,Tata Steel Ltd.,1,2403,1248.6,115.77,229170.78,-4851.63,3.85,3.6,0.3,3.53,2412,53648.3,248.51,2412N,98119.59,-2.12,10798.59,2646.75,33.19,0,42.23,1248.35,167777.65,132.55,184.60/122.60,216880.04,11.15,Steel & Iron Products,
532488,DIVISLAB,Divi's Laboratories Ltd.,2,2403,53,536,7845,1600,59.47,30,0,12.04,2412,2319,589,2412N,6662,23.23,1542,47.56,51.89,0,38.53,26.55,162583.58,6115.95,6448.75/3350.05,158995.58,78.18,Pharmaceuticals & Drugs,
532755,TECHM,Tech Mahindra Ltd.,5,2403,488.4,236.21,51995.5,2386.3,21.79,40,0,8.93,2412,13285.6,982.2,2412N,32744.4,3.33,2776.9,73.43,35.01,0,55.01,97.88,162565.02,1670.35,1807.40/1163.70,161502.02,49.45,IT - Software,
541450,ADANIGREEN,Adani Green Energy Ltd.,10,2403,1584,51.31,9220,971,-3.45,0,5.23,-11.72,2412,2365,400,2412N,13267,182.46,567,0,60.94,0,15.4,158.4,161254.5,996.9,2173.65/870.90,178696.5,424.5,Power Generation/Distribution,
543940,JIOFIN,JIO Financial Services Ltd.,10,2403,6353.28,39.17,1853.88,1176.03,0.6,0,0,1.82,2412,438.35,235.7,2412N,654.03,131.12,451.77,183.7,47.12,0,28.22,635.31,158705.04,250.55,394.70/231.10,158114.76,300.64,Finance - NBFC,
